Info,,LIBOR 6M,,Vol Black,Aout-01-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.998428,0.99818,0.997908,0.997682,0.997416,0.997174,0.99693,0.996646,0.996405,0.996129,0.995835,0.99557,0.995276,0.993313,0.987949,0.979792,0.968519,0.953734,0.935995,0.91595,0.893983,0.8714,0.848224,0.825171,0.75847,0.663883,0.590037,0.529121,0.474788,0.421548,0.379434,0.341112,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
10Yr,Vol,28.92,28.49,28.02,27.82,27.7,27.57,27.48,27.38,27.37,27.39,26.84,25.94,24.96,23.96,22.94,,,,,,,,,,,,,,,,,
,Strike,2.78,2.81,2.8,2.83,2.86,2.83,2.81,2.81,2.8,2.81,2.75,2.7,2.61,2.55,2.54,,,,,,,,,,,,,,,,,
12Yr,Vol,27.66,27.54,27.17,27.31,27.44,27.29,27.21,27.16,27.22,27.29,26.62,25.61,24.31,23.13,22.13,,,,,,,,,,,,,,,,,
,Strike,2.78,2.84,2.89,2.84,2.81,2.8,2.8,2.81,2.77,2.74,2.69,2.63,2.55,2.52,2.5,,,,,,,,,,,,,,,,,
15Yr,Vol,26.09,26.65,26.68,26.85,27.01,27.03,27.11,27.25,27.23,27.23,26.44,25.19,23.4,21.94,20.95,,,,,,,,,,,,,,,,,
,Strike,2.65,2.68,2.7,2.73,2.75,2.7,2.66,2.64,2.62,2.6,2.55,2.5,2.45,2.45,2.41,,,,,,,,,,,,,,,,,
20Yr,Vol,26.6,27.12,27.28,27.5,27.73,27.73,27.73,27.63,27.45,27.14,25.89,24,21.39,20.12,19.17,,,,,,,,,,,,,,,,,
,Strike,2.43,2.43,2.44,2.44,2.44,2.41,2.39,2.38,2.36,2.35,2.34,2.32,2.35,2.32,2.31,,,,,,,,,,,,,,,,,
25Yr,Vol,27.27,27.58,27.54,27.47,27.36,26.94,26.54,26.06,25.57,25.03,23.64,21.59,19.44,18.43,17.35,,,,,,,,,,,,,,,,,
,Strike,2.27,2.26,2.26,2.26,2.25,2.25,2.25,2.25,2.25,2.25,2.28,2.31,2.28,2.27,2.15,,,,,,,,,,,,,,,,,
30Yr,Vol,27.87,26.01,25.6,25.2,24.83,24.14,23.56,23,22.43,21.92,20.88,19.3,17.53,16.6,15.51,,,,,,,,,,,,,,,,,
,Strike,2.26,2.25,2.25,2.25,2.24,2.28,2.3,2.32,2.33,2.34,2.32,2.29,2.27,2.12,2.01,,,,,,,,,,,,,,,,,
########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,44.85,43.33,45,46.17,44.48,41.13,38.3,36.03,34.29,32.84,30.11,26.27,24.77,24.58,25.1,,,,,,,,,,,,,,,,,
,Strike,0.26,0.29,0.36,0.47,0.61,0.76,0.91,1.06,1.2,1.32,1.53,1.75,1.93,2,2.01,,,,,,,,,,,,,,,,,
3Mo,Vol,47.47,45.04,48.61,49.15,48.54,44.02,40.79,38.6,36.63,34.99,32.17,28.19,26.38,25.91,26.44,,,,,,,,,,,,,,,,,
,Strike,0.26,0.31,0.39,0.51,0.65,0.8,0.95,1.1,1.24,1.36,1.56,1.78,1.95,2.01,2.03,,,,,,,,,,,,,,,,,
6Mo,Vol,45.73,46.47,48.83,49.69,48.27,44.3,40.8,38.58,36.64,35.04,32.26,28.39,26.14,25.81,26.24,,,,,,,,,,,,,,,,,
,Strike,0.27,0.33,0.43,0.56,0.7,0.86,1.02,1.16,1.3,1.42,1.61,1.81,1.98,2.03,2.05,,,,,,,,,,,,,,,,,
9Mo,Vol,47.99,50.54,52.03,51.65,49.61,45.37,41.83,39.42,37.44,35.78,32.9,28.94,26.69,26.32,26.58,,,,,,,,,,,,,,,,,
,Strike,0.29,0.37,0.48,0.61,0.77,0.93,1.08,1.23,1.36,1.48,1.66,1.85,2.01,2.06,2.07,,,,,,,,,,,,,,,,,
1Yr,Vol,50.19,54.54,55.19,53.57,50.92,46.41,42.83,40.25,38.23,36.5,33.54,29.49,27.24,26.83,26.92,,,,,,,,,,,,,,,,,
,Strike,0.31,0.4,0.53,0.67,0.83,1,1.15,1.3,1.43,1.54,1.71,1.89,2.04,2.08,2.09,,,,,,,,,,,,,,,,,
2Yr,Vol,61.2,63.01,58.54,53.21,49.12,44.73,41.34,38.71,36.95,35.45,33.08,29.69,28.05,27.49,27.25,,,,,,,,,,,,,,,,,
,Strike,0.49,0.63,0.79,0.97,1.14,1.3,1.44,1.57,1.69,1.78,1.92,2.05,2.16,2.17,2.17,,,,,,,,,,,,,,,,,
3Yr,Vol,66.09,61.88,54.94,49.41,45.1,41.45,38.67,36.55,34.97,33.68,31.91,29.31,27.98,27.37,27.12,,,,,,,,,,,,,,,,,
,Strike,0.78,0.95,1.13,1.3,1.46,1.61,1.74,1.85,1.94,2,2.13,2.21,2.27,2.26,2.25,,,,,,,,,,,,,,,,,
4Yr,Vol,59.42,53.14,47.23,43.3,40.38,37.84,35.92,34.24,33.18,32.18,30.79,28.73,27.85,27.2,26.74,,,,,,,,,,,,,,,,,
,Strike,1.12,1.3,1.48,1.64,1.78,1.91,2.01,2.09,2.15,2.21,2.29,2.35,2.36,2.34,2.31,,,,,,,,,,,,,,,,,
5Yr,Vol,47.34,44.94,40.93,38.23,36.42,34.74,33.5,32.53,31.71,31.05,29.96,28.32,27.7,27.07,26.38,,,,,,,,,,,,,,,,,
,Strike,1.5,1.67,1.82,1.96,2.07,2.17,2.25,2.3,2.35,2.4,2.42,2.47,2.44,2.4,2.37,,,,,,,,,,,,,,,,,
6Yr,Vol,41.5,39.57,36.72,34.83,33.49,32.29,31.46,30.81,30.21,29.84,28.92,27.58,26.98,26.27,25.5,,,,,,,,,,,,,,,,,
,Strike,1.85,1.99,2.12,2.23,2.31,2.38,2.42,2.46,2.51,2.51,2.53,2.54,2.49,2.44,2.41,,,,,,,,,,,,,,,,,
7Yr,Vol,35.98,34.49,32.85,31.69,30.8,30.11,29.55,29.22,28.97,28.74,27.97,26.93,26.32,25.52,24.67,,,,,,,,,,,,,,,,,
,Strike,2.14,2.26,2.36,2.44,2.49,2.52,2.56,2.6,2.59,2.6,2.61,2.58,2.52,2.46,2.43,,,,,,,,,,,,,,,,,
8Yr,Vol,33.42,32.33,31.07,30.27,29.77,29.19,28.75,28.62,28.46,28.32,27.57,26.64,25.91,25.05,24.14,,,,,,,,,,,,,,,,,
,Strike,2.39,2.47,2.54,2.59,2.61,2.64,2.67,2.66,2.65,2.65,2.66,2.61,2.53,2.47,2.45,,,,,,,,,,,,,,,,,
9Yr,Vol,31.27,30.48,29.58,29.17,28.85,28.4,28.22,28.11,28.03,27.97,27.32,26.41,25.55,24.61,23.65,,,,,,,,,,,,,,,,,
,Strike,2.56,2.62,2.66,2.66,2.69,2.72,2.7,2.69,2.69,2.69,2.67,2.61,2.52,2.47,2.45,,,,,,,,,,,,,,,,,
10Yr,Vol,29.19,28.76,28.29,28.08,27.96,27.83,27.74,27.65,27.64,27.66,27.11,26.21,25.21,24.21,23.18,,,,,,,,,,,,,,,,,
,Strike,2.68,2.71,2.7,2.73,2.76,2.73,2.71,2.71,2.7,2.71,2.65,2.6,2.51,2.45,2.44,,,,,,,,,,,,,,,,,
12Yr,Vol,27.92,27.79,27.4,27.56,27.69,27.54,27.46,27.41,27.48,27.56,26.89,25.87,24.56,23.38,22.36,,,,,,,,,,,,,,,,,
,Strike,2.68,2.74,2.79,2.74,2.71,2.7,2.7,2.71,2.67,2.64,2.59,2.53,2.45,2.42,2.4,,,,,,,,,,,,,,,,,
15Yr,Vol,26.36,26.92,26.95,27.12,27.27,27.29,27.38,27.52,27.5,27.5,26.71,25.45,23.65,22.19,21.19,,,,,,,,,,,,,,,,,
,Strike,2.55,2.58,2.6,2.63,2.65,2.6,2.56,2.54,2.52,2.5,2.45,2.4,2.35,2.35,2.31,,,,,,,,,,,,,,,,,
20Yr,Vol,26.86,27.38,27.54,27.76,27.97,27.98,27.98,27.88,27.7,27.4,26.15,24.25,21.64,20.36,19.4,,,,,,,,,,,,,,,,,
