Info,,LIBOR 6M,,Vol Black,,,,Year,Month,Date,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,2008,7,2,,,,,,,,,,,,,,,,,,,,,,,
,Strike,5.44,5.36,5.24,5.16,5.1,5.06,5.03,5.03,5.04,5.06,5.08,5.09,5.05,4.98,4.92,,,,,,,,,,,,,,,,,
2Yr,Vol,19.14,18.4,17.5,16.7,16.13,15.65,15.22,14.95,14.72,14.5,14.31,14.05,14.05,14.12,14.25,,,,,,,,,,,,,,,,,
,Strike,5.26,5.13,5.05,5,4.97,4.95,4.96,4.98,5,5.02,5.04,5.05,5,4.93,4.87,,,,,,,,,,,,,,,,,
3Yr,Vol,18.08,17.25,16.8,16.15,15.57,15.05,14.63,14.28,14.1,13.9,13.7,13.45,13.47,13.53,13.7,,,,,,,,,,,,,,,,,
,Strike,5,4.94,4.91,4.88,4.88,4.9,4.93,4.96,4.98,5.01,5.03,5.02,4.97,4.9,4.84,,,,,,,,,,,,,,,,,
4Yr,Vol,16.57,16.4,15.9,15.28,14.75,14.28,13.85,13.6,13.35,13.25,13.1,12.93,12.95,13.08,13.17,,,,,,,,,,,,,,,,,
,Strike,4.87,4.86,4.84,4.85,4.88,4.92,4.95,4.98,5.01,5.02,5.03,5.02,4.95,4.87,4.82,,,,,,,,,,,,,,,,,
5Yr,Vol,15.93,15.6,14.97,14.4,13.9,13.55,13.25,13.05,12.85,12.72,12.62,12.5,12.53,12.65,12.75,,,,,,,,,,,,,,,,,
,Strike,4.84,4.82,4.84,4.88,4.93,4.97,5,5.03,5.04,5.05,5.05,5.02,4.94,4.86,4.8,,,,,,,,,,,,,,,,,
6Yr,Vol,15.27,14.8,14.19,13.72,13.34,12.99,12.74,12.59,12.42,12.31,12.26,12.21,12.3,12.41,12.54,,,,,,,,,,,,,,,,,
,Strike,4.81,4.83,4.9,4.95,5,5.03,5.06,5.07,5.08,5.08,5.06,5.02,4.93,4.85,4.79,,,,,,,,,,,,,,,,,
7Yr,Vol,14.45,13.83,13.33,13,12.75,12.42,12.22,12.13,12,11.9,11.9,11.93,12.07,12.18,12.32,,,,,,,,,,,,,,,,,
,Strike,4.86,4.95,5.01,5.05,5.09,5.11,5.12,5.12,5.12,5.11,5.08,5.02,4.92,4.84,4.78,,,,,,,,,,,,,,,,,
8Yr,Vol,13.6,13.13,12.76,12.5,12.32,12.07,11.91,11.85,11.77,11.7,11.72,11.77,11.93,12.04,12.18,,,,,,,,,,,,,,,,,
,Strike,5.04,5.09,5.12,5.15,5.16,5.17,5.17,5.16,5.14,5.13,5.09,5.02,4.9,4.82,4.76,,,,,,,,,,,,,,,,,
9Yr,Vol,12.89,12.51,12.26,12.06,11.94,11.77,11.64,11.62,11.58,11.54,11.58,11.65,11.81,11.93,12.05,,,,,,,,,,,,,,,,,
,Strike,5.13,5.17,5.19,5.2,5.2,5.19,5.18,5.16,5.14,5.12,5.07,4.99,4.87,4.79,4.73,,,,,,,,,,,,,,,,,
10Yr,Vol,12.16,11.9,11.78,11.62,11.57,11.47,11.38,11.4,11.4,11.38,11.44,11.53,11.7,11.82,11.93,,,,,,,,,,,,,,,,,
,Strike,5.2,5.22,5.22,5.22,5.21,5.19,5.16,5.14,5.11,5.09,5.03,4.94,4.83,4.75,4.69,,,,,,,,,,,,,,,,,
12Yr,Vol,11.66,11.54,11.49,11.4,11.35,11.29,11.19,11.19,11.17,11.14,11.2,11.28,11.38,11.51,11.61,,,,,,,,,,,,,,,,,
,Strike,5.24,5.22,5.2,5.17,5.14,5.11,5.08,5.05,5.01,4.98,4.92,4.83,4.73,4.66,4.6,,,,,,,,,,,,,,,,,
15Yr,Vol,11.07,11.15,11.2,11.17,11.1,11.08,11,10.95,10.87,10.83,10.88,10.95,10.93,11.05,11.15,,,,,,,,,,,,,,,,,
,Strike,5.07,5.04,5,4.97,4.94,4.9,4.86,4.82,4.79,4.76,4.7,4.63,4.55,4.49,4.45,,,,,,,,,,,,,,,,,
20Yr,Vol,11.09,11.2,11.12,11.1,11.03,10.98,10.93,10.85,10.78,10.67,10.63,10.6,10.6,10.65,10.63,,,,,,,,,,,,,,,,,
,Strike,4.65,4.62,4.58,4.55,4.52,4.5,4.48,4.45,4.43,4.4,4.39,4.36,4.3,4.27,4.22,,,,,,,,,,,,,,,,,
25Yr,Vol,11.27,11.23,11.17,11.03,10.95,10.8,10.65,10.55,10.53,10.35,10.29,10.22,10.22,10.2,10.18,,,,,,,,,,,,,,,,,
,Strike,4.38,4.35,4.32,4.29,4.26,4.27,4.27,4.27,4.26,4.24,4.23,4.19,4.16,4.11,3.86,,,,,,,,,,,,,,,,,
30Yr,Vol,10.9,10.65,10.53,10.4,10.3,10.17,10.1,10.03,9.95,9.9,9.88,9.88,9.88,9.88,9.83,,,,,,,,,,,,,,,,,
,Strike,4.35,4.32,4.29,4.25,4.22,4.22,4.2,4.18,4.16,4.14,4.14,4.11,4.05,3.73,3.48,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,22.04,24.86,23.99,22.97,22.2,20.79,19.5,18.54,17.77,16.78,16.64,16.46,16.46,16.78,17.05,,,,,,,,,,,,,,,,,
,Strike,5.48,5.48,5.42,5.33,5.26,5.2,5.16,5.14,5.13,5.14,5.15,5.17,5.14,5.07,5,,,,,,,,,,,,,,,,,
3Mo,Vol,21.55,23.99,22.75,21.38,20.41,19.05,17.91,17.14,16.42,15.78,15.55,15.26,15.24,15.21,15.31,,,,,,,,,,,,,,,,,
,Strike,5.52,5.48,5.41,5.32,5.24,5.19,5.15,5.13,5.13,5.13,5.15,5.16,5.13,5.07,5,,,,,,,,,,,,,,,,,
6Mo,Vol,21.41,22.84,21.37,20.27,19.42,18.22,17.24,16.59,16.07,15.59,15.41,15.14,15.09,15.09,15.14,,,,,,,,,,,,,,,,,
,Strike,5.55,5.47,5.38,5.29,5.22,5.17,5.13,5.12,5.12,5.13,5.15,5.16,5.12,5.06,4.99,,,,,,,,,,,,,,,,,
9Mo,Vol,21.49,21.96,20.51,19.35,18.43,17.43,16.64,16.13,15.71,15.31,15.13,14.88,14.81,14.81,14.85,,,,,,,,,,,,,,,,,
,Strike,5.52,5.44,5.34,5.25,5.18,5.14,5.11,5.1,5.11,5.12,5.14,5.15,5.11,5.04,4.98,,,,,,,,,,,,,,,,,
1Yr,Vol,21.57,21.06,19.64,18.42,17.42,16.62,16.03,15.65,15.35,15.03,14.85,14.61,14.53,14.53,14.55,,,,,,,,,,,,,,,,,
,Strike,5.49,5.41,5.29,5.21,5.15,5.11,5.08,5.08,5.09,5.11,5.13,5.14,5.1,5.03,4.97,,,,,,,,,,,,,,,,,
2Yr,Vol,19.11,18.37,17.47,16.67,16.09,15.62,15.2,14.92,14.7,14.47,14.29,14.02,14.02,14.1,14.22,,,,,,,,,,,,,,,,,
,Strike,5.31,5.18,5.1,5.05,5.02,5,5.01,5.03,5.05,5.07,5.09,5.1,5.05,4.98,4.92,,,,,,,,,,,,,,,,,
3Yr,Vol,18,17.17,16.73,16.08,15.51,14.98,14.56,14.21,14.04,13.84,13.64,13.39,13.42,13.47,13.64,,,,,,,,,,,,,,,,,
,Strike,5.05,4.99,4.96,4.93,4.93,4.95,4.98,5.01,5.03,5.06,5.08,5.07,5.02,4.95,4.89,,,,,,,,,,,,,,,,,
4Yr,Vol,16.49,16.32,15.82,15.2,14.68,14.21,13.78,13.53,13.29,13.19,13.04,12.86,12.89,13.01,13.11,,,,,,,,,,,,,,,,,
,Strike,4.92,4.91,4.89,4.9,4.93,4.97,5,5.03,5.06,5.07,5.08,5.07,5,4.92,4.87,,,,,,,,,,,,,,,,,
5Yr,Vol,15.84,15.51,14.89,14.32,13.82,13.47,13.18,12.98,12.78,12.65,12.55,12.43,12.45,12.58,12.67,,,,,,,,,,,,,,,,,
,Strike,4.89,4.87,4.89,4.93,4.98,5.02,5.05,5.08,5.09,5.1,5.1,5.07,4.99,4.91,4.85,,,,,,,,,,,,,,,,,
6Yr,Vol,15.18,14.72,14.11,13.65,13.26,12.92,12.67,12.52,12.36,12.25,12.19,12.14,12.23,12.34,12.46,,,,,,,,,,,,,,,,,
,Strike,4.86,4.88,4.95,5,5.05,5.08,5.11,5.12,5.13,5.13,5.11,5.07,4.98,4.9,4.84,,,,,,,,,,,,,,,,,
7Yr,Vol,14.37,13.75,13.25,12.93,12.68,12.36,12.16,12.06,11.94,11.84,11.84,11.86,12.01,12.11,12.25,,,,,,,,,,,,,,,,,
,Strike,4.91,5,5.06,5.1,5.14,5.16,5.17,5.17,5.17,5.16,5.13,5.07,4.97,4.89,4.83,,,,,,,,,,,,,,,,,
8Yr,Vol,13.54,13.07,12.7,12.44,12.26,12.02,11.86,11.8,11.72,11.65,11.67,11.72,11.88,11.99,12.12,,,,,,,,,,,,,,,,,
,Strike,5.09,5.14,5.17,5.2,5.21,5.22,5.22,5.21,5.19,5.18,5.14,5.07,4.95,4.87,4.81,,,,,,,,,,,,,,,,,
9Yr,Vol,12.85,12.47,12.23,12.02,11.91,11.73,11.6,11.59,11.55,11.5,11.54,11.61,11.78,11.9,12.01,,,,,,,,,,,,,,,,,
,Strike,5.18,5.22,5.24,5.25,5.25,5.24,5.23,5.21,5.19,5.17,5.12,5.04,4.92,4.84,4.78,,,,,,,,,,,,,,,,,
10Yr,Vol,12.14,11.88,11.75,11.61,11.56,11.46,11.36,11.38,11.38,11.36,11.42,11.5,11.68,11.8,11.9,,,,,,,,,,,,,,,,,
,Strike,5.25,5.27,5.27,5.27,5.26,5.24,5.21,5.19,5.16,5.14,5.08,4.99,4.88,4.8,4.74,,,,,,,,,,,,,,,,,
12Yr,Vol,11.64,11.52,11.47,11.38,11.32,11.25,11.16,11.16,11.13,11.1,11.16,11.24,11.34,11.46,11.56,,,,,,,,,,,,,,,,,
,Strike,5.29,5.27,5.25,5.22,5.19,5.16,5.13,5.1,5.06,5.03,4.97,4.88,4.78,4.71,4.65,,,,,,,,,,,,,,,,,
15Yr,Vol,10.99,11.07,11.12,11.1,11.02,11,10.92,10.87,10.8,10.75,10.8,10.87,10.84,10.96,11.06,,,,,,,,,,,,,,,,,
,Strike,5.12,5.09,5.05,5.02,4.99,4.95,4.91,4.87,4.84,4.81,4.75,4.68,4.6,4.54,4.5,,,,,,,,,,,,,,,,,
20Yr,Vol,11.03,11.13,11.06,11.03,10.96,10.91,10.86,10.78,10.71,10.61,10.57,10.53,10.53,10.58,10.55,,,,,,,,,,,,,,,,,
,Strike,4.7,4.67,4.63,4.6,4.57,4.55,4.53,4.5,4.48,4.45,4.44,4.41,4.35,4.32,4.27,,,,,,,,,,,,,,,,,
25Yr,Vol,11.2,11.15,11.1,10.95,10.88,10.73,10.58,10.48,10.46,10.28,10.22,10.16,10.16,10.13,10.1,,,,,,,,,,,,,,,,,
,Strike,4.43,4.4,4.37,4.34,4.31,4.32,4.32,4.32,4.31,4.29,4.28,4.24,4.21,4.16,3.91,,,,,,,,,,,,,,,,,
30Yr,Vol,10.83,10.58,10.46,10.33,10.23,10.11,10.03,9.96,9.88,9.83,9.81,9.81,9.81,9.8,9.75,,,,,,,,,,,,,,,,,
,Strike,4.4,4.37,4.34,4.3,4.27,4.27,4.25,4.23,4.21,4.19,4.19,4.16,4.1,3.78,3.53,,,,,,,,,,,,,,,,,
########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,22.51,25.4,24.51,23.48,22.7,21.26,19.95,18.97,18.18,17.17,17.02,16.84,16.84,17.17,17.45,,,,,,,,,,,,,,,,,
,Strike,5.38,5.38,5.32,5.23,5.16,5.1,5.06,5.04,5.03,5.04,5.05,5.07,5.04,4.97,4.9,,,,,,,,,,,,,,,,,
3Mo,Vol,21.98,24.46,23.2,21.82,20.84,19.45,18.29,17.51,16.78,16.12,15.89,15.59,15.56,15.54,15.64,,,,,,,,,,,,,,,,,
,Strike,5.42,5.38,5.31,5.22,5.14,5.09,5.05,5.03,5.03,5.03,5.05,5.06,5.03,4.97,4.9,,,,,,,,,,,,,,,,,
6Mo,Vol,21.58,23.03,21.55,20.44,19.59,18.38,17.4,16.74,16.21,15.73,15.53,15.28,15.23,15.23,15.28,,,,,,,,,,,,,,,,,
,Strike,5.45,5.37,5.28,5.19,5.12,5.07,5.03,5.02,5.02,5.03,5.05,5.06,5.02,4.96,4.89,,,,,,,,,,,,,,,,,
9Mo,Vol,21.63,22.11,20.65,19.49,18.56,17.56,16.76,16.25,15.83,15.43,15.23,14.99,14.93,14.93,14.97,,,,,,,,,,,,,,,,,
,Strike,5.42,5.34,5.24,5.15,5.08,5.04,5.01,5,5.01,5.02,5.04,5.05,5.01,4.94,4.88,,,,,,,,,,,,,,,,,
1Yr,Vol,21.69,21.19,19.76,18.53,17.53,16.73,16.12,15.75,15.45,15.12,14.94,14.69,14.62,14.62,14.65,,,,,,,,,,,,,,,,,
,Strike,5.39,5.31,5.19,5.11,5.05,5.01,4.98,4.98,4.99,5.01,5.03,5.04,5,4.93,4.87,,,,,,,,,,,,,,,,,
2Yr,Vol,19.17,18.43,17.53,16.73,16.16,15.68,15.25,14.98,14.75,14.53,14.34,14.08,14.08,14.15,14.28,,,,,,,,,,,,,,,,,
,Strike,5.21,5.08,5,4.95,4.92,4.9,4.91,4.93,4.95,4.97,4.99,5,4.95,4.88,4.82,,,,,,,,,,,,,,,,,
3Yr,Vol,18.16,17.33,16.87,16.22,15.64,15.12,14.69,14.34,14.16,13.96,13.76,13.51,13.53,13.58,13.76,,,,,,,,,,,,,,,,,
,Strike,4.95,4.89,4.86,4.83,4.83,4.85,4.88,4.91,4.93,4.96,4.98,4.97,4.92,4.85,4.79,,,,,,,,,,,,,,,,,
4Yr,Vol,16.66,16.48,15.98,15.35,14.82,14.34,13.92,13.67,13.41,13.31,13.17,12.99,13.01,13.14,13.24,,,,,,,,,,,,,,,,,
,Strike,4.82,4.81,4.79,4.8,4.83,4.87,4.9,4.93,4.96,4.97,4.98,4.97,4.9,4.82,4.77,,,,,,,,,,,,,,,,,
5Yr,Vol,16.03,15.69,15.06,14.48,13.98,13.63,13.32,13.12,12.92,12.8,12.69,12.57,12.6,12.72,12.83,,,,,,,,,,,,,,,,,
,Strike,4.79,4.77,4.79,4.83,4.88,4.92,4.95,4.98,4.99,5,5,4.97,4.89,4.81,4.75,,,,,,,,,,,,,,,,,
6Yr,Vol,15.36,14.89,14.27,13.8,13.41,13.07,12.81,12.66,12.49,12.38,12.33,12.28,12.37,12.48,12.61,,,,,,,,,,,,,,,,,
,Strike,4.76,4.78,4.85,4.9,4.95,4.98,5.01,5.02,5.03,5.03,5.01,4.97,4.88,4.8,4.74,,,,,,,,,,,,,,,,,
7Yr,Vol,14.53,13.9,13.4,13.07,12.82,12.49,12.29,12.19,12.06,11.96,11.96,11.99,12.14,12.24,12.4,,,,,,,,,,,,,,,,,
,Strike,4.81,4.9,4.96,5,5.04,5.06,5.07,5.07,5.07,5.06,5.03,4.97,4.87,4.79,4.73,,,,,,,,,,,,,,,,,
8Yr,Vol,13.66,13.18,12.81,12.55,12.37,12.12,11.96,11.9,11.82,11.75,11.77,11.82,11.98,12.1,12.23,,,,,,,,,,,,,,,,,
,Strike,4.99,5.04,5.07,5.1,5.11,5.12,5.12,5.11,5.09,5.08,5.04,4.97,4.85,4.77,4.71,,,,,,,,,,,,,,,,,
9Yr,Vol,12.93,12.55,12.3,12.09,11.98,11.8,11.67,11.66,11.62,11.57,11.61,11.68,11.85,11.97,12.09,,,,,,,,,,,,,,,,,
,Strike,5.08,5.12,5.14,5.15,5.15,5.14,5.13,5.11,5.09,5.07,5.02,4.94,4.82,4.74,4.68,,,,,,,,,,,,,,,,,
10Yr,Vol,12.18,11.92,11.8,11.64,11.59,11.49,11.39,11.42,11.42,11.39,11.46,11.55,11.72,11.85,11.95,,,,,,,,,,,,,,,,,
,Strike,5.15,5.17,5.17,5.17,5.16,5.14,5.11,5.09,5.06,5.04,4.98,4.89,4.78,4.7,4.64,,,,,,,,,,,,,,,,,
12Yr,Vol,11.69,11.58,11.54,11.45,11.4,11.33,11.24,11.23,11.21,11.18,11.24,11.32,11.42,11.55,11.65,,,,,,,,,,,,,,,,,
,Strike,5.19,5.17,5.15,5.12,5.09,5.06,5.03,5,4.96,4.93,4.87,4.78,4.68,4.61,4.55,,,,,,,,,,,,,,,,,
15Yr,Vol,11.13,11.22,11.27,11.24,11.17,11.14,11.07,11.02,10.94,10.89,10.95,11.02,11,11.12,11.23,,,,,,,,,,,,,,,,,
,Strike,5.02,4.99,4.95,4.92,4.89,4.85,4.81,4.77,4.74,4.71,4.65,4.58,4.5,4.44,4.4,,,,,,,,,,,,,,,,,
20Yr,Vol,11.16,11.27,11.19,11.17,11.09,11.04,10.99,10.92,10.84,10.74,10.7,10.67,10.67,10.72,10.7,,,,,,,,,,,,,,,,,
,Strike,4.6,4.57,4.53,4.5,4.47,4.45,4.43,4.4,4.38,4.35,4.34,4.31,4.25,4.22,4.17,,,,,,,,,,,,,,,,,
25Yr,Vol,11.34,11.3,11.25,11.1,11.02,10.87,10.72,10.62,10.59,10.42,10.36,10.29,10.29,10.27,10.25,,,,,,,,,,,,,,,,,
,Strike,4.33,4.3,4.27,4.24,4.21,4.22,4.22,4.22,4.21,4.19,4.18,4.14,4.11,4.06,3.81,,,,,,,,,,,,,,,,,
30Yr,Vol,10.97,10.72,10.59,10.47,10.37,10.24,10.17,10.09,10.02,9.97,9.94,9.94,9.94,9.95,9.9,,,,,,,,,,,,,,,,,
,Strike,4.3,4.27,4.24,4.2,4.17,4.17,4.15,4.13,4.11,4.09,4.09,4.06,4,3.68,3.43,,,,,,,,,,,,,,,,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skew,scale,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,,
1Mo,-4.7,-5.4,-5.2,-5.1,-5,-4.7,-4.5,-4.3,-4.1,-3.9,-3.8,-3.8,-3.8,-3.9,-4,,,,,,,,,,,,,,,,,,
3Mo,-4.3,-4.7,-4.5,-4.4,-4.3,-4,-3.8,-3.7,-3.6,-3.4,-3.4,-3.3,-3.2,-3.3,-3.3,,,,,,,,,,,,,,,,,,
6Mo,-1.7,-1.9,-1.8,-1.7,-1.7,-1.6,-1.6,-1.5,-1.4,-1.4,-1.2,-1.4,-1.4,-1.4,-1.4,,,,,,,,,,,,,,,,,,
9Mo,-1.4,-1.5,-1.4,-1.4,-1.3,-1.3,-1.2,-1.2,-1.2,-1.2,-1,-1.1,-1.2,-1.2,-1.2,,,,,,,,,,,,,,,,,,
1Yr,-1.2,-1.3,-1.2,-1.1,-1.1,-1.1,-0.9,-1,-1,-0.9,-0.9,-0.8,-0.9,-0.9,-1,,,,,,,,,,,,,,,,,,
2Yr,-0.6,-0.6,-0.6,-0.6,-0.7,-0.6,-0.5,-0.6,-0.5,-0.6,-0.5,-0.6,-0.6,-0.5,-0.6,,,,,,,,,,,,,,,,,,
3Yr,-1.6,-1.6,-1.4,-1.4,-1.3,-1.4,-1.3,-1.3,-1.2,-1.2,-1.2,-1.2,-1.1,-1.1,-1.2,,,,,,,,,,,,,,,,,,
4Yr,-1.7,-1.6,-1.6,-1.5,-1.4,-1.3,-1.4,-1.4,-1.2,-1.2,-1.3,-1.3,-1.2,-1.3,-1.3,,,,,,,,,,,,,,,,,,
5Yr,-1.9,-1.8,-1.7,-1.6,-1.6,-1.6,-1.4,-1.4,-1.4,-1.5,-1.4,-1.4,-1.5,-1.4,-1.6,,,,,,,,,,,,,,,,,,
6Yr,-1.8,-1.7,-1.6,-1.5,-1.5,-1.5,-1.4,-1.4,-1.3,-1.3,-1.4,-1.4,-1.4,-1.4,-1.5,,,,,,,,,,,,,,,,,,
7Yr,-1.6,-1.5,-1.5,-1.4,-1.4,-1.3,-1.3,-1.3,-1.2,-1.2,-1.2,-1.3,-1.3,-1.3,-1.5,,,,,,,,,,,,,,,,,,
8Yr,-1.2,-1.1,-1.1,-1.1,-1.1,-1,-1,-1,-1,-1,-1,-1,-1,-1.1,-1.1,,,,,,,,,,,,,,,,,,
9Yr,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.8,,,,,,,,,,,,,,,,,,
10Yr,-0.4,-0.4,-0.5,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.3,-0.4,-0.5,-0.4,-0.5,-0.5,,,,,,,,,,,,,,,,,,
12Yr,-0.5,-0.6,-0.7,-0.7,-0.8,-0.8,-0.8,-0.7,-0.8,-0.8,-0.8,-0.8,-0.8,-0.9,-0.9,,,,,,,,,,,,,,,,,,
15Yr,-1.4,-1.5,-1.5,-1.4,-1.5,-1.4,-1.5,-1.5,-1.4,-1.4,-1.5,-1.5,-1.6,-1.6,-1.7,,,,,,,,,,,,,,,,,,
20Yr,-1.3,-1.4,-1.3,-1.4,-1.3,-1.3,-1.3,-1.4,-1.3,-1.3,-1.3,-1.4,-1.4,-1.4,-1.5,,,,,,,,,,,,,,,,,,
25Yr,-1.4,-1.5,-1.5,-1.5,-1.4,-1.4,-1.4,-1.4,-1.3,-1.4,-1.4,-1.3,-1.3,-1.4,-1.5,,,,,,,,,,,,,,,,,,
30Yr,-1.4,-1.4,-1.3,-1.4,-1.4,-1.3,-1.4,-1.3,-1.4,-1.4,-1.3,-1.3,-1.3,-1.5,-1.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
