Info,,LIBOR 6M,,Vol Black,,,,Year,Month,Date,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,2011,4,6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.991966,0.990372,0.988679,0.986775,0.98495,0.983116,0.981045,0.979167,0.977013,0.974814,0.97264,0.970174,0.968069,0.953509,0.922151,0.88901,0.854847,0.820489,0.786798,0.753702,0.721085,0.689382,0.658136,0.627433,0.543898,0.437335,0.364429,0.313436,0.272001,0.234494,0.198651,0.171671,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
7Yr,Vol,18.97,17.83,17.53,17.26,16.98,16.86,16.79,16.84,16.94,17.06,16.97,16.88,17.21,18.03,18.57,,,,,,,,,,,,,,,,,
,Strike,4.45,4.51,4.56,4.61,4.67,4.7,4.73,4.76,4.74,4.72,4.69,4.6,4.4,4.22,4.09,,,,,,,,,,,,,,,,,
8Yr,Vol,17.93,17.08,16.82,16.61,16.43,16.33,16.3,16.41,16.54,16.69,16.61,16.59,16.95,17.69,18.16,,,,,,,,,,,,,,,,,
,Strike,4.57,4.61,4.67,4.72,4.76,4.79,4.81,4.78,4.76,4.74,4.7,4.57,4.35,4.17,4.05,,,,,,,,,,,,,,,,,
9Yr,Vol,16.97,16.33,16.11,15.98,15.89,15.82,15.87,16.01,16.17,16.33,16.31,16.3,16.71,17.36,17.76,,,,,,,,,,,,,,,,,
,Strike,4.65,4.72,4.78,4.81,4.84,4.85,4.82,4.79,4.76,4.74,4.66,4.53,4.29,4.11,4,,,,,,,,,,,,,,,,,
10Yr,Vol,15.9,15.55,15.43,15.38,15.38,15.4,15.47,15.62,15.82,16,16.04,16.04,16.48,17.05,17.37,,,,,,,,,,,,,,,,,
,Strike,4.8,4.85,4.87,4.89,4.9,4.85,4.81,4.78,4.75,4.73,4.61,4.47,4.22,4.04,3.94,,,,,,,,,,,,,,,,,
12Yr,Vol,15.17,15.06,15.07,15.25,15.41,15.45,15.55,15.71,15.97,16.22,16.22,16.23,16.53,17.01,17.29,,,,,,,,,,,,,,,,,
,Strike,4.92,4.93,4.94,4.85,4.79,4.75,4.72,4.69,4.61,4.55,4.44,4.27,4.03,3.89,3.81,,,,,,,,,,,,,,,,,
15Yr,Vol,14.77,14.96,15.16,15.38,15.61,15.78,15.98,16.2,16.43,16.7,16.69,16.62,16.69,17.02,17.24,,,,,,,,,,,,,,,,,
,Strike,4.55,4.55,4.54,4.52,4.51,4.41,4.34,4.27,4.22,4.18,4.04,3.88,3.7,3.61,3.59,,,,,,,,,,,,,,,,,
20Yr,Vol,16.08,16.5,16.8,17.1,17.34,17.59,17.84,18.19,18.44,18.69,18.4,17.96,17.29,17.11,16.89,,,,,,,,,,,,,,,,,
,Strike,3.87,3.84,3.81,3.79,3.77,3.68,3.61,3.56,3.51,3.47,3.4,3.31,3.26,3.29,3.26,,,,,,,,,,,,,,,,,
25Yr,Vol,18.33,19.18,19.43,19.67,19.82,19.92,19.95,19.97,19.97,19.92,19.23,18.23,17.11,16.76,16.41,,,,,,,,,,,,,,,,,
,Strike,3.21,3.18,3.16,3.14,3.11,3.1,3.08,3.06,3.04,3.03,3.04,3.04,3.11,3.1,2.93,,,,,,,,,,,,,,,,,
30Yr,Vol,19.48,19.77,19.72,19.67,19.5,19.25,19.05,18.85,18.6,18.4,17.67,16.64,15.66,15.34,15.06,,,,,,,,,,,,,,,,,
,Strike,3.01,2.99,2.97,2.95,2.93,2.96,2.98,2.99,2.99,2.99,3.06,3.11,3.09,2.88,2.72,,,,,,,,,,,,,,,,,
########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,29.69,31.21,27.17,24.51,22.52,21.37,20.42,19.66,18.99,18.41,17.96,17.33,17.18,17.51,18.11,,,,,,,,,,,,,,,,,
,Strike,1.97,2.43,2.74,2.97,3.15,3.3,3.42,3.52,3.61,3.69,3.83,3.98,4.06,4.01,3.91,,,,,,,,,,,,,,,,,
