Info,,LIBOR 6M,,Vol Black,Aout-06-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strike,0.35,0.45,0.56,0.7,0.86,1.02,1.18,1.32,1.45,1.56,1.73,1.9,2.04,2.08,2.09,,,,,,,,,,,,,,,,,
2Yr,Vol,60.86,63.33,59.33,54.12,49.83,45.51,42.21,39.6,37.92,36.46,34.05,30.61,29.08,28.54,28.37,,,,,,,,,,,,,,,,,
,Strike,0.54,0.67,0.82,0.99,1.16,1.32,1.46,1.59,1.7,1.79,1.93,2.06,2.15,2.17,2.17,,,,,,,,,,,,,,,,,
3Yr,Vol,66.22,62.21,55.46,50.1,45.86,42.26,39.54,37.48,35.94,34.7,32.9,30.21,28.88,28.34,28.06,,,,,,,,,,,,,,,,,
,Strike,0.8,0.96,1.14,1.31,1.48,1.62,1.75,1.85,1.94,2.01,2.13,2.2,2.26,2.25,2.24,,,,,,,,,,,,,,,,,
4Yr,Vol,59.08,53.56,47.8,43.88,41.02,38.63,36.72,35.18,34.09,33.12,31.71,29.6,28.76,28.13,27.67,,,,,,,,,,,,,,,,,
,Strike,1.13,1.31,1.49,1.65,1.8,1.92,2.01,2.1,2.15,2.21,2.28,2.34,2.35,2.33,2.31,,,,,,,,,,,,,,,,,
5Yr,Vol,48.27,45.23,41.19,38.63,36.9,35.32,34.08,33.17,32.38,31.77,30.68,29.01,28.45,27.91,27.17,,,,,,,,,,,,,,,,,
,Strike,1.5,1.67,1.84,1.97,2.08,2.17,2.25,2.3,2.34,2.39,2.41,2.46,2.43,2.38,2.36,,,,,,,,,,,,,,,,,
6Yr,Vol,41.99,39.72,36.96,35.14,33.93,32.78,31.97,31.39,30.81,30.48,29.56,28.23,27.68,27.03,26.23,,,,,,,,,,,,,,,,,
,Strike,1.85,2.01,2.13,2.24,2.32,2.38,2.42,2.46,2.5,2.5,2.52,2.53,2.48,2.43,2.4,,,,,,,,,,,,,,,,,
7Yr,Vol,35.85,34.55,33.02,31.93,31.18,30.52,29.99,29.72,29.49,29.29,28.53,27.52,26.97,26.2,25.34,,,,,,,,,,,,,,,,,
,Strike,2.17,2.28,2.37,2.44,2.5,2.52,2.56,2.59,2.59,2.59,2.59,2.57,2.51,2.45,2.42,,,,,,,,,,,,,,,,,
8Yr,Vol,33.52,32.58,31.4,30.62,30.2,29.65,29.22,29.13,29,28.88,28.14,27.23,26.56,25.7,24.79,,,,,,,,,,,,,,,,,
,Strike,2.39,2.48,2.54,2.59,2.6,2.63,2.66,2.64,2.64,2.64,2.64,2.59,2.51,2.46,2.43,,,,,,,,,,,,,,,,,
9Yr,Vol,31.46,30.92,30,29.63,29.31,28.89,28.72,28.62,28.58,28.53,27.9,27,26.19,25.24,24.27,,,,,,,,,,,,,,,,,
,Strike,2.56,2.61,2.65,2.65,2.68,2.71,2.68,2.67,2.67,2.67,2.64,2.59,2.51,2.45,2.43,,,,,,,,,,,,,,,,,
10Yr,Vol,29.6,29.36,28.83,28.64,28.47,28.36,28.26,28.16,28.2,28.23,27.69,26.8,25.85,24.8,23.77,,,,,,,,,,,,,,,,,
,Strike,2.66,2.7,2.69,2.71,2.74,2.71,2.69,2.68,2.68,2.68,2.63,2.58,2.49,2.44,2.42,,,,,,,,,,,,,,,,,
12Yr,Vol,28.4,28.4,28.01,28.18,28.29,28.14,28.05,28,28.1,28.2,27.53,26.54,25.2,23.98,22.94,,,,,,,,,,,,,,,,,
,Strike,2.66,2.72,2.77,2.71,2.68,2.68,2.67,2.68,2.64,2.61,2.57,2.51,2.43,2.4,2.38,,,,,,,,,,,,,,,,,
15Yr,Vol,26.96,27.51,27.61,27.8,27.97,27.97,28.04,28.17,28.18,28.22,27.44,26.21,24.29,22.78,21.74,,,,,,,,,,,,,,,,,
,Strike,2.52,2.55,2.57,2.6,2.62,2.57,2.54,2.51,2.5,2.48,2.43,2.38,2.33,2.33,2.3,,,,,,,,,,,,,,,,,
20Yr,Vol,27.41,28.19,28.36,28.57,28.8,28.82,28.82,28.7,28.52,28.22,26.88,24.88,22.13,20.84,19.86,,,,,,,,,,,,,,,,,
,Strike,2.32,2.32,2.33,2.33,2.33,2.3,2.28,2.26,2.25,2.24,2.23,2.21,2.24,2.21,2.21,,,,,,,,,,,,,,,,,
25Yr,Vol,28.34,28.71,28.67,28.57,28.38,27.91,27.43,26.89,26.38,25.81,24.37,22.25,20.01,18.97,17.89,,,,,,,,,,,,,,,,,
,Strike,2.14,2.13,2.13,2.13,2.13,2.13,2.14,2.14,2.14,2.14,2.17,2.2,2.17,2.17,2.05,,,,,,,,,,,,,,,,,
30Yr,Vol,28.26,26.58,26.13,25.67,25.24,24.56,23.99,23.41,22.88,22.38,21.31,19.7,17.91,16.93,15.88,,,,,,,,,,,,,,,,,
,Strike,2.18,2.17,2.17,2.17,2.16,2.19,2.21,2.23,2.24,2.24,2.22,2.19,2.19,2.04,1.92,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,48.95,47.32,50.36,52.35,51.01,46.76,43.21,40.37,38.22,36.49,33.44,28.83,27.1,26.7,27.26,,,,,,,,,,,,,,,,,
,Strike,0.35,0.38,0.46,0.56,0.69,0.83,0.98,1.13,1.27,1.39,1.6,1.81,1.99,2.05,2.06,,,,,,,,,,,,,,,,,
3Mo,Vol,51.98,45.18,49.35,50.73,50.51,46.13,43.07,40.83,38.75,37.09,34.11,29.61,27.72,27.3,27.86,,,,,,,,,,,,,,,,,
,Strike,0.35,0.4,0.48,0.59,0.73,0.87,1.03,1.17,1.31,1.43,1.63,1.84,2.01,2.06,2.08,,,,,,,,,,,,,,,,,
6Mo,Vol,49.87,45.94,48.74,50.59,49.48,45.8,42.46,40.17,38.29,36.68,33.82,29.63,27.51,27.2,27.6,,,,,,,,,,,,,,,,,
,Strike,0.36,0.43,0.52,0.64,0.78,0.94,1.09,1.24,1.37,1.49,1.68,1.87,2.03,2.08,2.1,,,,,,,,,,,,,,,,,
9Mo,Vol,51.56,49.81,51.91,52.19,50.49,46.48,43.07,40.6,38.66,37.01,34.1,29.96,27.95,27.49,27.71,,,,,,,,,,,,,,,,,
,Strike,0.38,0.46,0.56,0.69,0.84,1,1.15,1.3,1.43,1.54,1.73,1.91,2.06,2.11,2.12,,,,,,,,,,,,,,,,,
1Yr,Vol,53.37,53.88,55.23,53.88,51.55,47.19,43.71,41.05,39.03,37.35,34.4,30.29,28.4,27.8,27.82,,,,,,,,,,,,,,,,,
,Strike,0.4,0.5,0.61,0.75,0.91,1.07,1.23,1.37,1.5,1.61,1.78,1.95,2.09,2.13,2.14,,,,,,,,,,,,,,,,,
2Yr,Vol,60.88,63.27,59.29,54.08,49.57,45.29,42.04,39.45,37.78,36.34,33.94,30.51,29,28.46,28.29,,,,,,,,,,,,,,,,,
,Strike,0.59,0.72,0.87,1.04,1.21,1.37,1.51,1.64,1.75,1.84,1.98,2.11,2.2,2.22,2.22,,,,,,,,,,,,,,,,,
3Yr,Vol,66.21,62.17,55.42,50.07,45.84,42.24,39.52,37.46,35.93,34.71,32.9,30.19,28.87,28.33,28.05,,,,,,,,,,,,,,,,,
,Strike,0.85,1.01,1.19,1.36,1.53,1.67,1.8,1.9,1.99,2.06,2.18,2.25,2.31,2.3,2.29,,,,,,,,,,,,,,,,,
4Yr,Vol,59.08,53.53,47.78,43.87,41.01,38.62,36.72,35.18,34.08,33.12,31.7,29.58,28.75,28.13,27.67,,,,,,,,,,,,,,,,,
,Strike,1.18,1.36,1.54,1.7,1.85,1.97,2.06,2.15,2.2,2.26,2.33,2.39,2.4,2.38,2.36,,,,,,,,,,,,,,,,,
5Yr,Vol,47.98,44.93,40.93,38.4,36.72,35.13,33.9,33,32.22,31.62,30.53,28.86,28.32,27.77,27.04,,,,,,,,,,,,,,,,,
,Strike,1.55,1.72,1.89,2.02,2.13,2.22,2.3,2.35,2.39,2.44,2.46,2.51,2.48,2.43,2.41,,,,,,,,,,,,,,,,,
6Yr,Vol,41.73,39.45,36.72,34.92,33.74,32.6,31.8,31.22,30.66,30.33,29.41,28.08,27.55,26.89,26.1,,,,,,,,,,,,,,,,,
,Strike,1.9,2.06,2.18,2.29,2.37,2.43,2.47,2.51,2.55,2.55,2.57,2.58,2.53,2.48,2.45,,,,,,,,,,,,,,,,,
7Yr,Vol,35.6,34.29,32.8,31.71,30.97,30.33,29.82,29.55,29.33,29.13,28.38,27.37,26.84,26.06,25.2,,,,,,,,,,,,,,,,,
,Strike,2.22,2.33,2.42,2.49,2.55,2.57,2.61,2.64,2.64,2.64,2.64,2.62,2.56,2.5,2.47,,,,,,,,,,,,,,,,,
8Yr,Vol,33.32,32.38,31.22,30.44,30.02,29.49,29.07,28.97,28.85,28.73,28,27.09,26.43,25.57,24.66,,,,,,,,,,,,,,,,,
,Strike,2.44,2.53,2.59,2.64,2.65,2.68,2.71,2.69,2.69,2.69,2.69,2.64,2.56,2.51,2.48,,,,,,,,,,,,,,,,,
9Yr,Vol,31.3,30.76,29.85,29.47,29.16,28.75,28.58,28.48,28.43,28.39,27.76,26.86,26.06,25.11,24.15,,,,,,,,,,,,,,,,,
,Strike,2.61,2.66,2.7,2.7,2.73,2.76,2.73,2.72,2.72,2.72,2.69,2.64,2.56,2.5,2.48,,,,,,,,,,,,,,,,,
10Yr,Vol,29.46,29.23,28.7,28.51,28.34,28.23,28.13,28.03,28.06,28.09,27.55,26.67,25.72,24.68,23.65,,,,,,,,,,,,,,,,,
,Strike,2.71,2.75,2.74,2.76,2.79,2.76,2.74,2.73,2.73,2.73,2.68,2.63,2.54,2.49,2.47,,,,,,,,,,,,,,,,,
12Yr,Vol,28.26,28.27,27.88,28.05,28.15,28.01,27.92,27.87,27.96,28.06,27.39,26.4,25.07,23.85,22.82,,,,,,,,,,,,,,,,,
,Strike,2.71,2.77,2.82,2.76,2.73,2.73,2.72,2.73,2.69,2.66,2.62,2.56,2.48,2.45,2.43,,,,,,,,,,,,,,,,,
15Yr,Vol,26.82,27.37,27.47,27.66,27.84,27.84,27.9,28.03,28.04,28.08,27.3,26.07,24.16,22.65,21.62,,,,,,,,,,,,,,,,,
,Strike,2.57,2.6,2.62,2.65,2.67,2.62,2.59,2.56,2.55,2.53,2.48,2.43,2.38,2.38,2.35,,,,,,,,,,,,,,,,,
20Yr,Vol,27.28,28.06,28.22,28.44,28.67,28.69,28.69,28.57,28.39,28.08,26.75,24.75,22,20.72,19.75,,,,,,,,,,,,,,,,,
,Strike,2.37,2.37,2.38,2.38,2.38,2.35,2.33,2.31,2.3,2.29,2.28,2.26,2.29,2.26,2.26,,,,,,,,,,,,,,,,,
25Yr,Vol,28.21,28.58,28.54,28.45,28.26,27.79,27.31,26.78,26.27,25.68,24.24,22.12,19.88,18.85,17.78,,,,,,,,,,,,,,,,,
,Strike,2.19,2.18,2.18,2.18,2.18,2.18,2.19,2.19,2.19,2.19,2.22,2.25,2.22,2.22,2.1,,,,,,,,,,,,,,,,,
30Yr,Vol,28.13,26.45,26,25.54,25.12,24.44,23.88,23.29,22.78,22.24,21.18,19.57,17.78,16.81,15.76,,,,,,,,,,,,,,,,,
,Strike,2.23,2.22,2.22,2.22,2.21,2.24,2.26,2.28,2.29,2.29,2.27,2.24,2.24,2.09,1.97,,,,,,,,,,,,,,,,,
########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,49.18,47.44,50.43,52.36,51.02,46.77,43.22,40.38,38.23,36.49,33.48,29.19,27.63,27.28,27.69,,,,,,,,,,,,,,,,,
,Strike,0.25,0.28,0.36,0.46,0.59,0.73,0.88,1.03,1.17,1.29,1.5,1.71,1.89,1.95,1.96,,,,,,,,,,,,,,,,,
3Mo,Vol,52.19,45.29,49.41,50.76,50.52,46.2,43.08,40.83,38.76,37.09,34.15,29.97,28.25,27.65,28.29,,,,,,,,,,,,,,,,,
,Strike,0.25,0.3,0.38,0.49,0.63,0.77,0.93,1.07,1.21,1.33,1.53,1.74,1.91,1.96,1.98,,,,,,,,,,,,,,,,,
6Mo,Vol,49.95,46.01,48.77,50.61,49.49,45.85,42.46,40.26,38.46,36.83,33.99,30.02,27.99,27.57,28.05,,,,,,,,,,,,,,,,,
,Strike,0.26,0.33,0.42,0.54,0.68,0.84,0.99,1.14,1.27,1.39,1.58,1.77,1.93,1.98,2,,,,,,,,,,,,,,,,,
9Mo,Vol,51.79,50.28,52.16,52.56,50.74,46.77,43.34,40.94,39.03,37.33,34.41,30.39,28.34,27.89,28.18,,,,,,,,,,,,,,,,,
,Strike,0.28,0.36,0.46,0.59,0.74,0.9,1.05,1.2,1.33,1.44,1.63,1.81,1.96,2.01,2.02,,,,,,,,,,,,,,,,,
1Yr,Vol,53.63,54.58,55.6,54.49,51.99,47.68,44.21,41.62,39.58,37.82,34.83,30.75,28.7,28.21,28.3,,,,,,,,,,,,,,,,,
,Strike,0.3,0.4,0.51,0.65,0.81,0.97,1.13,1.27,1.4,1.51,1.68,1.85,1.99,2.03,2.04,,,,,,,,,,,,,,,,,
2Yr,Vol,60.88,63.46,59.43,54.18,50.1,45.75,42.39,39.77,38.06,36.58,34.16,30.72,29.16,28.62,28.45,,,,,,,,,,,,,,,,,
,Strike,0.49,0.62,0.77,0.94,1.11,1.27,1.41,1.54,1.65,1.74,1.88,2.01,2.1,2.12,2.12,,,,,,,,,,,,,,,,,
3Yr,Vol,66.26,62.29,55.52,50.15,45.9,42.3,39.57,37.51,35.96,34.71,32.91,30.23,28.89,28.36,28.08,,,,,,,,,,,,,,,,,
,Strike,0.75,0.91,1.09,1.26,1.43,1.57,1.7,1.8,1.89,1.96,2.08,2.15,2.21,2.2,2.19,,,,,,,,,,,,,,,,,
4Yr,Vol,59.08,53.61,47.84,43.92,41.05,38.66,36.72,35.19,34.1,33.14,31.73,29.63,28.77,28.15,27.69,,,,,,,,,,,,,,,,,
,Strike,1.08,1.26,1.44,1.6,1.75,1.87,1.96,2.05,2.1,2.16,2.23,2.29,2.3,2.28,2.26,,,,,,,,,,,,,,,,,
5Yr,Vol,48.57,45.55,41.48,38.87,37.09,35.51,34.26,33.35,32.55,31.93,30.84,29.17,28.6,28.05,27.32,,,,,,,,,,,,,,,,,
,Strike,1.45,1.62,1.79,1.92,2.03,2.12,2.2,2.25,2.29,2.34,2.36,2.41,2.38,2.33,2.31,,,,,,,,,,,,,,,,,
6Yr,Vol,42.26,39.99,37.21,35.37,34.13,32.97,32.16,31.56,30.98,30.64,29.72,28.38,27.83,27.17,26.37,,,,,,,,,,,,,,,,,
,Strike,1.8,1.96,2.08,2.19,2.27,2.33,2.37,2.41,2.45,2.45,2.47,2.48,2.43,2.38,2.35,,,,,,,,,,,,,,,,,
7Yr,Vol,36.11,34.81,33.26,32.17,31.4,30.72,30.18,29.9,29.66,29.45,28.69,27.67,27.12,26.34,25.48,,,,,,,,,,,,,,,,,
,Strike,2.12,2.23,2.32,2.39,2.45,2.47,2.51,2.54,2.54,2.54,2.54,2.52,2.46,2.4,2.37,,,,,,,,,,,,,,,,,
8Yr,Vol,33.72,32.79,31.59,30.81,30.38,29.82,29.38,29.29,29.16,29.03,28.29,27.38,26.7,25.84,24.92,,,,,,,,,,,,,,,,,
,Strike,2.34,2.43,2.49,2.54,2.55,2.58,2.61,2.59,2.59,2.59,2.59,2.54,2.46,2.41,2.38,,,,,,,,,,,,,,,,,
9Yr,Vol,31.63,31.09,30.16,29.79,29.47,29.04,28.87,28.77,28.72,28.68,28.04,27.14,26.33,25.37,24.4,,,,,,,,,,,,,,,,,
,Strike,2.51,2.56,2.6,2.6,2.63,2.66,2.63,2.62,2.62,2.62,2.59,2.54,2.46,2.4,2.38,,,,,,,,,,,,,,,,,
10Yr,Vol,29.74,29.51,28.97,28.78,28.6,28.49,28.4,28.3,28.34,28.37,27.84,26.95,25.98,24.93,23.9,,,,,,,,,,,,,,,,,
,Strike,2.61,2.65,2.64,2.66,2.69,2.66,2.64,2.63,2.63,2.63,2.58,2.53,2.44,2.39,2.37,,,,,,,,,,,,,,,,,
12Yr,Vol,28.53,28.54,28.13,28.32,28.42,28.27,28.18,28.13,28.24,28.34,27.67,26.68,25.34,24.11,23.07,,,,,,,,,,,,,,,,,
,Strike,2.61,2.67,2.72,2.66,2.63,2.63,2.62,2.63,2.59,2.56,2.52,2.46,2.38,2.35,2.33,,,,,,,,,,,,,,,,,
15Yr,Vol,27.11,27.66,27.75,27.95,28.11,28.11,28.18,28.31,28.33,28.37,27.59,26.35,24.42,22.91,21.86,,,,,,,,,,,,,,,,,
,Strike,2.47,2.5,2.52,2.55,2.57,2.52,2.49,2.46,2.45,2.43,2.38,2.33,2.28,2.28,2.25,,,,,,,,,,,,,,,,,
20Yr,Vol,27.55,28.33,28.5,28.71,28.93,28.95,28.95,28.84,28.65,28.36,27.02,25.01,22.27,20.97,19.99,,,,,,,,,,,,,,,,,
,Strike,2.27,2.27,2.28,2.28,2.28,2.25,2.23,2.21,2.2,2.19,2.18,2.16,2.19,2.16,2.16,,,,,,,,,,,,,,,,,
25Yr,Vol,28.47,28.84,28.8,28.71,28.5,28.03,27.54,27.01,26.49,25.94,24.5,22.38,20.14,19.1,17.99,,,,,,,,,,,,,,,,,
,Strike,2.09,2.08,2.08,2.08,2.08,2.08,2.09,2.09,2.09,2.09,2.12,2.15,2.12,2.12,2,,,,,,,,,,,,,,,,,
30Yr,Vol,28.4,26.72,26.27,25.8,25.37,24.68,24.12,23.52,23,22.52,21.45,19.84,18.05,17.05,16,,,,,,,,,,,,,,,,,
,Strike,2.13,2.12,2.12,2.12,2.11,2.14,2.16,2.18,2.19,2.19,2.17,2.14,2.14,1.99,1.87,,,,,,,,,,,,,,,,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skew,scale,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,,
1Mo,-2.3,-1.2,-0.7,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.4,-3.6,-5.3,-5.8,-4.3,,,,,,,,,,,,,,,,,,
3Mo,-2.1,-1.1,-0.6,-0.3,-0.1,-0.7,-0.1,0,-0.1,0,-0.4,-3.6,-5.3,-3.5,-4.3,,,,,,,,,,,,,,,,,,
6Mo,-0.8,-0.7,-0.3,-0.2,-0.1,-0.5,0,-0.9,-1.7,-1.5,-1.7,-3.9,-4.8,-3.7,-4.5,,,,,,,,,,,,,,,,,,
9Mo,-2.3,-4.7,-2.5,-3.7,-2.5,-2.9,-2.7,-3.4,-3.7,-3.2,-3.1,-4.3,-3.9,-4,-4.7,,,,,,,,,,,,,,,,,,
1Yr,-2.6,-7,-3.7,-6.1,-4.4,-4.9,-5,-5.7,-5.5,-4.7,-4.3,-4.6,-3,-4.1,-4.8,,,,,,,,,,,,,,,,,,
2Yr,0,-1.9,-1.4,-1,-5.3,-4.6,-3.5,-3.2,-2.8,-2.4,-2.2,-2.1,-1.6,-1.6,-1.6,,,,,,,,,,,,,,,,,,
3Yr,-0.5,-1.2,-1,-0.8,-0.6,-0.6,-0.5,-0.5,-0.3,0,-0.1,-0.4,-0.2,-0.3,-0.3,,,,,,,,,,,,,,,,,,
4Yr,0,-0.8,-0.6,-0.5,-0.4,-0.4,0,-0.1,-0.2,-0.2,-0.3,-0.5,-0.2,-0.2,-0.2,,,,,,,,,,,,,,,,,,
5Yr,-5.9,-6.2,-5.5,-4.7,-3.7,-3.8,-3.6,-3.5,-3.3,-3.1,-3.1,-3.1,-2.8,-2.8,-2.8,,,,,,,,,,,,,,,,,,
6Yr,-5.3,-5.4,-4.9,-4.5,-3.9,-3.7,-3.6,-3.4,-3.2,-3.1,-3.1,-3,-2.8,-2.8,-2.7,,,,,,,,,,,,,,,,,,
7Yr,-5.1,-5.2,-4.6,-4.6,-4.3,-3.9,-3.6,-3.5,-3.3,-3.2,-3.1,-3,-2.8,-2.8,-2.8,,,,,,,,,,,,,,,,,,
8Yr,-4,-4.1,-3.7,-3.7,-3.6,-3.3,-3.1,-3.2,-3.1,-3,-2.9,-2.9,-2.7,-2.7,-2.6,,,,,,,,,,,,,,,,,,
9Yr,-3.3,-3.3,-3.1,-3.2,-3.1,-2.9,-2.9,-2.9,-2.9,-2.9,-2.8,-2.8,-2.7,-2.6,-2.5,,,,,,,,,,,,,,,,,,
10Yr,-2.8,-2.8,-2.7,-2.7,-2.6,-2.6,-2.7,-2.7,-2.8,-2.8,-2.9,-2.8,-2.6,-2.5,-2.5,,,,,,,,,,,,,,,,,,
12Yr,-2.7,-2.7,-2.5,-2.7,-2.7,-2.6,-2.6,-2.6,-2.8,-2.8,-2.8,-2.8,-2.7,-2.6,-2.5,,,,,,,,,,,,,,,,,,
15Yr,-2.9,-2.9,-2.8,-2.9,-2.7,-2.7,-2.8,-2.8,-2.9,-2.9,-2.9,-2.8,-2.6,-2.6,-2.4,,,,,,,,,,,,,,,,,,
20Yr,-2.7,-2.7,-2.8,-2.7,-2.6,-2.6,-2.6,-2.7,-2.6,-2.8,-2.7,-2.6,-2.7,-2.5,-2.4,,,,,,,,,,,,,,,,,,
25Yr,-2.6,-2.6,-2.6,-2.6,-2.4,-2.4,-2.3,-2.3,-2.2,-2.6,-2.6,-2.6,-2.6,-2.5,-2.1,,,,,,,,,,,,,,,,,,
30Yr,-2.7,-2.7,-2.7,-2.6,-2.5,-2.4,-2.4,-2.3,-2.2,-2.8,-2.7,-2.7,-2.7,-2.4,-2.4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
